id,id,name,team_id/id,failure_level_id/id,ticket_type_id/id,target_type,stage_id/id,tag_ids/id,description,time_days,time_hours,time_minutes,time_response
__export__.helpdesk_sla_4_c9f074a1,__export__.helpdesk_sla_4_c9f074a1,Cierre Ticket  Bajo,helpdesk.helpdesk_team1,__export__.helpdesk_failure_level_4_b9a73272,helpdesk.type_question,Etapa de contacto,helpdesk.stage_solved,,,2,0,0,"0.25"
__export__.helpdesk_sla_3_188711be,__export__.helpdesk_sla_3_188711be,Cierre Ticket  Medio,helpdesk.helpdesk_team1,__export__.helpdesk_failure_level_3_75291a11,helpdesk.type_incident,Etapa de contacto,helpdesk.stage_solved,,,1,0,0,"0.25"
__export__.helpdesk_sla_2_13e2982e,__export__.helpdesk_sla_2_13e2982e,Cierre Ticket  alto,helpdesk.helpdesk_team1,__export__.helpdesk_failure_level_2_3e1ebd1a,__export__.helpdesk_ticket_type_3_5fdf9cff,Etapa de contacto,helpdesk.stage_solved,,,0,6,0,"0.08333333333333333"
__export__.helpdesk_sla_1_565f4d62,__export__.helpdesk_sla_1_565f4d62,Cierre Ticket de emergencia,helpdesk.helpdesk_team1,__export__.helpdesk_failure_level_1_4f508cb5,__export__.helpdesk_ticket_type_4_b1ae0bf7,Etapa de contacto,helpdesk.stage_solved,,,0,4,0,"0.08333333333333333"
