id,code,name,system_id/id,categ_ids:id,maker,freq_maker,operator
tkt_categ_elemt_0028,SSTDIAWI,Antena wifi,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Hikvision / Inhand,Mensual,UFO7
tkt_categ_elemt_0029,DCAGPS,Antena GPS,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Hikvision,Mensual,UFO7
tkt_categ_elemt_0030,DCICAN,Interfaz CAN,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
tkt_categ_elemt_0031,DCGAB,Gabinete,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",BUSSCAR,Mensual,UFO7
,,,,,,,
tkt_categ_elemt_0032,DCBRE,Baterias respaldo,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Velko Colsaisa,Mensual,UFO7
tkt_categ_elemt_0033,SSTDIRF,Rutero Frontal,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Tongda,Mensual,UFO7
tkt_categ_elemt_0034,SSTDIRLA,Rutero Lateral,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Tongda,Mensual,UFO7
tkt_categ_elemt_0035,SSTDIRPO,Rutero Posterior,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Tongda,Mensual,UFO7
tkt_categ_elemt_0036,SSTDIPIN,Pantalla informativa,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Tongda,Mensual,UFO7
tkt_categ_elemt_0037,SSTDIPANIN,Panel de Información (PIP),mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Tongda,Mensual,UFO7
,,,,,,,
tkt_categ_elemt_0038,SSTDIMAM,Micŕofono ambiente,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
tkt_categ_elemt_0039,SSTDIRAD,Radio,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Nooelec,Mensual,UFO7
tkt_categ_elemt_0040,SSTDIAMP,Amplificador,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
tkt_categ_elemt_0041,SSTDIPAR,Parlantes,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Mowin,Mensual,UFO7
tkt_categ_elemt_0042,SSTDICAB,Computador abordo,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Advantech,Mensual,UFO7
tkt_categ_elemt_0043,DCMCON,Monitor del conductor,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Advantech,Mensual,UFO7
,,,,,,,
tkt_categ_elemt_0045,SSTDIROU,Router,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Inhand,Mensual,UFO7
tkt_categ_elemt_0046,SSTDICRU,Controlador de rutero,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Tongda,Mensual,UFO7
tkt_categ_elemt_0047,DCFSTS,Firmware STS,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,No aplica,UFO7
tkt_categ_elemt_0048,SSTDIFSTDI,Firmware STDI,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
tkt_categ_elemt_0049,DCCLTE,Conectividad LTE,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
tkt_categ_elemt_0050,SSTDICWI,Conectividad WIFI ó INTERNET,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
tkt_categ_elemt_0051,SSTDICACON,Cableado y conectores,mblz_mueve.system_stdi_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
tkt_categ_elemt_0052,DCCCON,Cableado y conectores,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",LG CNS,Mensual,UFO7
